,two_year_recid,race,sex,age,c_charge_degree,priors_count,length_of_stay
0,1,0,1,1,1,0,-0.18715112222571176
1,1,0,1,0,1,2,-0.356541038759229
2,1,1,1,1,1,2,-0.25805852914671895
3,0,1,0,1,0,0,-0.3218751953756254
4,1,1,1,0,1,1,-0.35890461898992926
5,0,1,1,1,1,0,-0.357328898836129
6,1,0,1,0,0,1,-0.298239393068623
7,0,1,0,1,0,0,-0.3604803391437294
8,0,0,1,1,1,0,-0.36599535968202995
9,1,1,0,2,1,1,-0.10757725445880365
10,1,0,1,1,1,2,-0.31872375506802514
11,0,0,1,1,1,1,-0.3557531786823289
12,1,1,1,1,1,2,-0.357328898836129
13,1,1,1,1,1,2,-0.3557531786823289
14,1,0,1,2,1,2,-0.356541038759229
15,1,0,1,0,1,1,-0.31872375506802514
16,1,1,1,1,0,0,-0.3722982402972306
17,0,1,0,0,1,0,-0.3557531786823289
18,0,1,1,1,0,1,-0.3541774585285288
19,1,0,1,1,1,2,-0.05557848938339836
20,0,1,0,1,1,1,-0.3620560592975295
21,1,0,1,1,1,2,-0.3596924790668293
22,1,0,1,1,1,0,0.3367758289128415
23,1,1,1,1,1,2,0.458894140832354
24,1,0,1,1,1,2,-0.357328898836129
25,0,1,1,2,1,0,-0.336844536836727
26,0,1,1,1,0,2,-0.1485459784576078
27,1,1,0,1,0,2,-0.16666676022630966
28,1,1,1,0,0,1,-0.3557531786823289
29,1,0,1,1,1,2,0.25247480068453293
30,0,0,0,0,1,1,1.1301509263512222
31,0,0,1,2,0,1,-0.3557531786823289
32,1,1,1,1,0,1,-0.36363177945132974
33,0,0,0,2,1,2,-0.34551099768262783
34,1,0,1,1,1,0,-0.3738739604510307
35,1,1,1,1,0,2,-0.2454527679163177
36,1,0,1,1,1,2,-0.3604803391437294
37,0,1,1,2,0,0,-0.3746618205279308
38,1,0,1,1,0,2,0.5912546337515675
39,0,0,1,1,1,0,-0.3746618205279308
40,1,1,1,1,1,1,-0.3754496806048309
41,1,1,1,2,1,2,-0.17612108114911063
42,0,0,1,1,1,2,2.1937620301663308
43,1,0,1,0,1,1,-0.34235955737502755
44,0,0,1,2,0,2,-0.3604803391437294
45,0,1,1,2,1,2,-0.13042519668890598
46,0,0,1,1,1,2,-0.35890461898992926
47,1,0,1,2,0,2,0.3005342653754379
48,1,0,1,1,1,2,-0.3557531786823289
49,1,1,1,1,0,2,-0.33999597714432733
50,1,0,1,0,1,1,-0.35811675891302913
51,1,0,1,0,1,1,1.970797628403608
52,1,0,1,1,1,2,-0.018549065769094618
53,1,0,1,1,1,2,0.19180957476322677
54,0,0,0,2,0,0,-0.31714803491422494
55,0,0,1,1,0,1,-0.2848457717613217
56,1,0,1,1,1,2,-0.3557531786823289
57,1,1,1,1,1,1,-0.10757725445880365
58,0,0,1,1,1,1,-0.31714803491422494
59,1,0,1,0,0,1,-0.05951778976789874
60,0,1,1,0,1,0,0.7181001061324802
61,1,0,0,1,1,1,-0.3392081170674272
62,1,1,1,1,1,1,-0.011458325076993896
63,0,0,1,1,1,0,-0.3557531786823289
64,0,0,1,1,0,1,-0.34551099768262783
65,1,0,1,1,0,2,-0.3541774585285288
66,1,0,1,1,1,2,-0.24230132760871737
67,1,0,1,0,1,1,0.19102171468632675
68,1,0,1,0,0,1,-0.36363177945132974
69,0,0,0,1,0,1,-0.36126819922062947
70,1,0,1,1,1,2,-0.307693713991424
71,1,1,1,1,1,2,-0.3754496806048309
72,1,1,1,1,1,2,-0.35890461898992926
73,0,1,0,0,1,0,-0.36599535968202995
74,0,1,1,2,1,1,0.19574887514772724
75,0,1,0,2,0,0,-0.3722982402972306
76,1,0,1,0,0,1,-0.20527190399441358
77,0,0,1,0,1,1,2.218973552627133
78,0,0,1,1,1,1,-0.3596924790668293
79,1,1,0,1,1,0,-0.34551099768262783
80,1,1,1,0,1,2,-0.14697025830380767
81,0,1,1,1,1,0,-0.26436140976191963
82,0,1,1,1,0,0,0.3596237711429439
83,0,1,0,1,1,1,1.6430478364131744
84,1,0,1,2,1,2,1.69741018171928
85,0,1,1,1,1,1,-0.35811675891302913
86,1,0,1,0,1,1,-0.258846389223619
87,1,1,1,1,0,2,-0.3234509155294256
88,0,1,1,1,1,0,-0.09497149322840238
89,1,0,1,1,1,2,-0.3722982402972306
90,0,0,1,1,1,1,-0.35338959845162865
91,1,1,1,1,1,1,-0.3604803391437294
92,1,0,1,1,1,2,2.950895564067307
93,1,0,1,0,1,0,-0.3604803391437294
94,1,0,1,1,1,2,-0.34235955737502755
95,0,0,1,1,0,1,-0.3549653186054288
96,1,1,1,1,1,2,8.533672068981275
97,1,0,1,1,1,1,-0.35890461898992926
98,0,0,1,2,1,2,1.1348780868126227
99,0,1,1,2,0,1,-0.3652074996051299
100,1,0,1,1,1,2,-0.36126819922062947
101,1,1,1,0,1,2,-0.10836511453570372
102,0,1,0,1,1,1,-0.3202994752218253
103,0,1,1,1,0,1,-0.30533013376072377
104,1,1,1,1,0,0,-0.3604803391437294
105,0,0,0,0,0,0,-0.3313295162984264
106,1,1,0,1,1,2,-0.24308918768561746
107,1,0,1,1,1,1,-0.2249684059169156
108,1,1,1,1,0,1,-0.09103219284390197
109,0,0,1,1,0,1,-0.357328898836129
110,1,1,1,2,1,1,-0.36678321975892997
111,0,0,0,0,1,1,-0.32502663568322576
112,0,1,0,1,0,0,-0.35890461898992926
113,1,0,1,1,1,2,-0.1288494765351058
114,1,0,1,1,1,2,-0.35338959845162865
115,1,0,1,1,0,2,-0.36363177945132974
116,1,0,0,1,1,0,-0.3439352775288277
117,1,0,0,1,1,2,0.11775072753461929
118,1,0,1,1,1,1,-0.357328898836129
119,0,0,0,0,1,0,-0.3746618205279308
120,0,1,0,1,0,0,-0.3604803391437294
121,1,0,0,2,1,1,-0.3628439193744296
122,1,0,0,1,1,2,-0.24860420822391796
123,1,0,0,1,0,1,-0.3628439193744296
124,0,0,1,2,0,1,-0.356541038759229
125,0,1,1,1,0,1,-0.3029665535300235
126,1,1,0,1,1,1,9.646130497564188
127,0,0,1,1,1,1,0.9489431086642038
128,0,1,1,2,0,1,-0.3620560592975295
129,0,0,1,0,1,1,-0.36126819922062947
130,1,1,1,2,1,2,0.05157048107501256
131,0,1,0,2,1,2,-0.28248219153062143
132,0,1,1,1,1,0,-0.3344809566060267
133,1,0,1,1,0,1,-0.34078383722122735
134,0,0,0,1,1,2,-0.356541038759229
135,0,0,1,2,1,2,-0.08157787192110101
136,0,1,0,1,1,2,1.6241391945675725
137,0,1,1,2,1,1,-0.031154826999495854
138,1,0,1,1,0,2,-0.36441963952822976
139,1,1,1,2,0,1,-0.36126819922062947
140,0,1,1,2,1,0,-0.3557531786823289
141,1,0,1,1,1,2,0.2642927018380341
142,1,0,1,2,0,2,-0.36126819922062947
143,1,0,1,0,0,0,-0.35811675891302913
144,1,1,0,1,1,1,-0.35890461898992926
145,0,0,1,2,1,1,-0.3392081170674272
146,1,1,1,1,0,2,0.9662760303560057
147,1,0,1,1,1,2,1.4594764384954557
148,1,0,1,1,0,1,-0.3730861003741307
149,1,1,1,1,1,0,-0.3596924790668293
150,1,0,1,1,1,2,1.1222723255822216
151,0,1,1,1,1,1,6.410389161735559
152,1,0,1,0,1,0,-0.35890461898992926
153,0,0,1,1,0,1,0.10908426668871836
154,0,0,0,0,0,1,-0.3620560592975295
155,0,1,1,2,1,1,-0.3447231376057278
156,0,1,0,1,0,0,-0.3722982402972306
157,0,1,1,1,0,2,-0.3541774585285288
158,1,0,0,1,1,2,-0.33763239691362706
159,1,0,1,1,1,1,-0.3557531786823289
160,0,0,1,1,0,0,-0.3258144957601259
161,0,0,0,1,1,0,0.17290093291762484
